Column1,Country,Product,LineOfBusiness,ClassOfBusiness,OSFI,Member Product/Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Property,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Earthquake,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Commercial Multi-Peril,Flood,Property,0050,Commercial Risk Program
Soplex,Canada,Builders Risk,Inland Marine,Property,0050,Commercial Risk Program
Soplex,Canada,Builders Risk,Inland Marine,Property,0050,Commercial Risk Program
Soplex,Canada,Builders Risk,Inland Marine,Property,0050,Commercial Risk Program
Soplex,Canada,Builders Risk,Inland Marine,Property,0050,Commercial Risk Program
Soplex,Canada,Builders Risk,Inland Marine,Property,0050,Commercial Risk Program
